,Where,Area,Sub-Area,Question,Score = 1,Score = 2,Score = 3,Score = 4
1,Diagnostic,Environmental & Social Impact,Environmental,"Does the enterprise understand the significant positive environmental impacts of its activities, for example, low energy consumption, energy sourced from renewables, product is renewable/efficient energy technology, high standard of environmental policies, sustainable farming practices etc.? ",The enterprise does not focus on this. It is possible that is has little or low positive environmental impact,The enterprise is aware of its positive impact. It is possible that positive impact is created as a side effect of its main activities,"The enterprise is aware of its impact, has taken action to focus on creating more impact and trying to measure it, but it’s not comprehensive",The enterprise is focused on its social impact. Actions to ensure and increase impact are taken and monitored by management. Impact is measured and reported
2,Diagnostic,Environmental & Social Impact,Environmental,"Does the enterprise understand what negative impact its activities have on the environment, for example in terms of pollution, high water consumption and deforestation?",The enterprise has not analysed this. It is possible that its activities are damaging,"The enterprise is aware of its environmental impact and has taken action on one or two of the issues, such as reduction of chemicals","The enterprise is aware of its impact, has received advice on some of these issues, and has taken actions, but it’s not comprehensive",The enterprise carries out a full diagnostic involving local stakeholders and covering a wide range of issues from water to conservation. Actions are taken and monitored by management
3,Diagnostic,Environmental & Social Impact,Social,"Does the enterprise understand the significant positive social impacts of its activities, for example, employment creation, good worker conditions, training, community development etc.?",The enterprise does not focus on this. It is possible that is has little or low positive social impact,The enterprise is aware of its positive impact. It is possible that positive impact is created as a side effect of its main activities,"The enterprise is aware of its impact, has taken action to focus on creating more impact and trying to measure it, but it’s not comprehensive",The enterprise is focused on its social impact. Actions to ensure and increase impact are taken and monitored by management. Impact is measured and reported
4,Diagnostic,Environmental & Social Impact,Social,"Does the enterprise understand what negative impacts its activities may have on society, for example in terms of poor working conditions, no community interaction, low involvement of women in enterprise, product unsuitable for local people (luxury market etc.)? ",The enterprise has not analysed this. It is possible that its activities are damaging,"The enterprise is aware of its negative social impact and has taken action on one or two of the issues, such as improving health and safety or giving workers fair pay","The enterprise is aware of its impact, has received advice on some of these issues, and has taken actions, but it’s not comprehensive",The enterprise carries out a full diagnostic involving local stakeholders and covering a wide range of issues from gender inclusion to product suitability. Actions are taken and monitored by management
13,Diagnostic,Finance & Legal,Compliance,How often do organisational audits occur?,Never,"Irregularly, every few years",Regularly every 2 years or so,Regularly (annually / more frequently)
14,Diagnostic,Finance & Legal,Compliance,What is the level of adherence to employment laws,No regular meetings,Annually,Twice annually - Quarterly,Monthly
15,Diagnostic,Finance & Legal,Compliance,What is the level of adherence to health and safety laws,Not adherence to the laws,Minimal adherence to the laws,Adherence to most of the laws governing employment,Adherence to all laws governing employment
16,Diagnostic,Finance & Legal,Compliance,What is the level of adherence to tax laws,Not adherence to the laws,Minimal adherence to the laws,Adherence to most of the laws governing health and safety,Adherence to all laws governing health and safety
36,Diagnostic,Finance & Legal,Finance,Are there systems in place for processing finances?,No systems in place,"System in place, but processes are undocumented",Paper-based system in place and all processes documented,IT-based system in place and all processes documented
37,Diagnostic,Finance & Legal,Finance,Does the organisation have access to loans  / working capital?,"No, none and it has been refused by several banks and other formal sector money lenders","Small, expensive loans available to the organisation with slow approval times and may not be granted",Organisation has an established track record with a bank and is now able to access slightly larger amounts of capital at lower rates than before. It is unlikely an application would be delayed or refused,"Yes, organisation has overdraft facility sufficient for its current trading pattern "
38,Diagnostic,Finance & Legal,Finance,How advanced are the Financial Reporting activities?,Limited / non-existent reports,Basic reports in place,Some areas of depth - good general reports,Excellent throughout
39,Diagnostic,Finance & Legal,Finance,How often are management financial reports produced?,Never,Annually,Quarterly,Monthlly
40,Diagnostic,Finance & Legal,Finance,Is there an in-house finance function within the organisation?,No,"Yes, book-keeping only","Yes, book-keeping and creation of monthly management accounts","Yes, book-keeping, creation of monthly management and annual accounts"
41,Diagnostic,Finance & Legal,Finance,Trades Payable - is the organisation paying its creditors on time (to agreed terms)?,0-50% on time,<75% on time,<90% on time,>90% on time
42,Diagnostic,Finance & Legal,Finance,Trades Receivable - is the organisation getting monies owed by debtors / customers paid within agreed terms?,0-50% on time,<75% on time,<90% on time,>90% on time
43,Diagnostic,Finance & Legal,Finance,What is this year's PnL projection?,Less than 25% capacity ,Less than 50% capacity ,Less than 75% capacity ,Consistently more than 75% capacity 
44,Diagnostic,Finance & Legal,Finance,"What level of financial reserves does the organisation have? Or cash until next revenue generation event (eg, harvest)?","None, few or it is not clear at this time ",1 month's operating costs in cash at bank on average month on month,2 month's operating costs in cash at bank on average month on month ,3+ month's operating costs in cash at bank on average month on month
45,Diagnostic,Finance & Legal,Finance,Which sentence best describes the organisation's revenue generation model?,Single product,"Multiple product lines on same platform
(eg, one organisation producing ready salted peanuts and dry roasted peanuts, in 100g bags and 1kg bags)","Multiple platforms each with single product lines 
(eg, one organisation manufacturing one type of football, tennis racket and screwdriver)","Multiple product lines within multiple platforms
(eg, an organisation that produces multiple PCs, laptops and printers) "
46,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of total revenues?,"Large, consistent declines",Some net decline,Some net growth,"Strong, consistent growth"
47,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of percentage of revenues concentrated in top 5 customers (revenue from customer/total gross revenue)?,"Significant, consistent concetration",Some net concentration,Some net diversification,"Strong, consistent diversification"
48,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of gross margin?,"Large, consistent declines",Some net decline,Some net growth,"Strong, consistent growth"
49,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of net margin?,"Large, consistent declines",Some net decline,Some net growth,"Strong, consistent growth"
50,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of assets employed?,"Large, consistent declines",Some net decline,Some net growth,"Strong, consistent growth"
51,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of the current ratio?,"Large, consistent decline in liquidity",Some net decline in liquidity,Some net growth in liquidity,"Strong, consistent growth in liquidity"
52,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of equity concentrated in the owner?,"Significant, consistent concetration",Some net concentration,Some net diversification,"Strong, consistent diversification"
53,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of debt/equity ratio?,Extreme changes in ratio,Significant change in ratio,Mostly consistent ratio,Stable ratio
54,Diagnostic,Finance & Legal,Finance,What is the 3 year trend of cash generated from operations?,"Large, consistent declines",Some net decline,Some net growth,"Strong, consistent growth"
89,Diagnostic,Finance & Legal,Legal,To what extent is there an in-house legal capability within the organisation?,None,Basic contracts for suppliers and sales only,"Basic contracts for suppliers and sales, internal contracts (eg, employment, health & safety)",Complex internal and external capabilities (including corporate and commercial legal work)
90,Diagnostic,Finance & Legal,Legal,What access do you have to external legal support?,Nascent,Emerging,Expanding,Mature
91,Diagnostic,Finance & Legal,Legal,What insurance and intellectual property (IP) coverage do you have?,Very limited or no insurance/IP coverage,Limited insurance/IP coverage,Good insurance/IP coverage,"Full, extensive insurance/IP coverage"
92,Diagnostic,Finance & Legal,Legal,"Are there any ongoing, or have there been any legal disputes within the past 5 years?","Yes, there have been several disputes over different issues","Yes, there have been several disputes in one area","Yes, there has been one dispute",No disputes
116,Diagnostic,Leadership,Governance,*Cooperatives only* - What is the quality of the general assembly?,Very poor. Little or no skills or experience of working within an effective general assembly,Poor. A few experienced people within the general assembly drive it to make the assembly work,Good. A large proportion of the assembly have the skills and experience required for an effective general assembly,Excellent. The vast majority of the assembly have the skills and experience to create a highly effective general assembly
117,Diagnostic,Leadership,Governance,Are the board fully informed on all matters regarding the running of the organisation? ,No updates given,Updates are only given on a need to know basis,"Reports are provided to the board, but are done so irregularly / not in a standard format",Regular reports provided in a standardised format
118,Diagnostic,Leadership,Governance,Does the board have the expertise to advise on all matters?  ,"Board has a limited expertise, with large gaps in skills","Board has a few areas of expertise, but has several gaps in skills","Board has no gaps, but has only limited skills in some areas ",Board has expertise in all areas
119,Diagnostic,Leadership,Governance,Does the board provide direction to organisation leadership when sought? ,No direction provided,"Direction provided by board, but only after being prompted repeatedly by leadership","Direction provided by board, but leadership has to ask for input",Direction provided by board without prompting
120,Diagnostic,Leadership,Governance,How well have board positions been defined in terms of roles and responsibilities (against those of the leadership team)?,"No definition of roles and responsibilities, resulting in much overlap with the leadership, causing confusion over the respective roles","Limited definition of roles and responsibilities, but these need revising as there are clear overlaps with the leadership","Roles and responsibilities have been defined, but there are still some grey areas that need resolution","Roles and responsibilities are clear, with the differentiation understood by both board and leadership"
